fips,cases,deaths
37019,43,3
37021,63,4
37023,102,8
37025,296,11
37027,33,0
37029,1,0
37031,28,3
37033,22,0
37035,53,1
37037,316,8
37039,16,1
37041,7,0
37043,5,0
37045,47,2
37047,139,9
37049,40,4
78010,27,0
37051,238,7
37053,5,0
37055,12,1
37057,166,7
37059,30,2
78020,2,0
37061,92,0
37063,728,18
37065,87,4
37067,219,5
37069,104,19
78030,37,0
37071,139,3
37073,7,0
37075,2,0
37077,136,5
37079,16,0
37081,381,26
37083,56,1
37085,155,7
37087,10,0
37089,177,20
37091,37,1
37093,80,0
37095,1,0
37097,111,5
37099,13,0
37101,150,12
37103,14,2
37105,156,0
37107,65,3
37109,27,0
37111,22,1
37113,3,1
37115,1,0
37117,16,0
37119,1627,49
37121,5,0
37123,33,1
37125,79,3
37127,90,3
37129,75,3
37131,82,4
37133,45,1
37135,217,16
37137,7,0
37139,36,1
37141,13,0
37143,13,0
37145,20,1
37147,123,2
37149,20,0
37151,185,3
37153,47,2
37155,157,3
37157,26,2
37159,381,22
37161,139,6
37163,63,0
37165,24,0
37167,29,4
37169,11,0
37171,17,0
37173,3,0
37175,8,0
37177,4,0
37179,240,9
37181,88,6
37183,821,17
37185,10,0
37187,24,2
37189,9,0
37191,655,10
29001,12,0
37193,33,1
37195,157,6
29003,2,0
29005,2,0
37197,16,1
29007,1,0
29009,6,0
29013,6,1
29015,8,0
29017,4,0
29019,100,1
29021,87,1
29023,26,0
29025,3,0
29027,22,1
29029,35,1
29031,49,1
29033,3,0
29035,4,1
29037,62,6
29039,8,0
29041,5,0
29043,19,0
29045,1,0
29047,70,1
29049,11,0
29051,51,1
29053,7,0
29055,8,0
29059,2,0
29061,2,0
29063,3,0
29069,20,2
29071,114,8
29073,2,0
29075,1,0
29077,85,8
29081,6,0
29083,8,1
29087,1,0
29089,2,0
29091,5,0
29093,2,0
29095,323,14
29097,24,0
29099,260,8
29101,54,0
29107,37,1
29111,6,1
29113,46,1
29115,5,1
29117,2,0
29119,5,0
29121,3,0
29123,1,0
29125,2,0
29127,5,0
29131,1,0
29133,29,0
29135,40,0
29139,7,0
29141,3,0
29143,9,0
29145,10,1
29147,3,0
29149,1,0
29151,5,0
29155,28,1
29157,43,0
29159,35,0
29161,2,0
29163,11,0
29165,32,0
29167,1,0
29169,34,1
29173,1,0
29175,8,0
29177,12,0
29179,2,0
29181,5,0
29183,566,34
29185,2,0
29186,7,1
29187,28,1
29189,3049,162
21001,83,10
21003,13,0
29195,184,0
21005,8,1
29199,4,0
21007,9,0
21009,17,0
29201,64,2
21011,4,1
29205,1,0
21015,138,2
29207,19,0
21017,8,1
29209,4,0
21019,33,3
21021,18,0
29213,11,1
21023,7,0
21025,3,0
29217,4,0
21027,9,0
29219,22,0
21029,53,2
29221,8,1
21031,116,3
29225,15,0
21033,13,0
21035,34,1
29227,1,0
21037,89,9
29229,10,0
21039,2,0
21041,2,0
21043,5,0
21045,1,0
21047,88,3
21049,21,0
21051,1,0
21053,3,0
21055,4,1
21057,5,0
21059,188,6
21061,26,0
21067,248,10
21069,2,0
21071,13,0
21073,21,0
21075,2,0
21077,1,0
21079,3,0
21081,21,3
21083,131,13
21085,65,5
21087,2,0
21089,11,0
21091,6,0
21093,40,0
21097,18,0
21099,5,0
21101,63,1
21103,6,0
21105,2,0
21107,197,24
21109,60,7
21111,1307,91
21113,41,0
21115,3,0
21117,276,20
21119,4,0
21121,6,0
21123,5,0
21125,17,2
21127,1,0
21131,4,0
21133,2,0
21135,3,0
21137,5,1
21139,4,0
21141,10,0
21143,14,3
53049,4,0
21145,55,2
21147,11,0
21149,14,0
21151,29,1
21155,16,0
21157,34,0
21159,4,0
21161,6,0
21163,12,1
21165,4,0
21167,11,0
21169,1,0
21171,5,0
21173,11,0
21175,1,0
21177,123,4
21179,22,0
21181,1,0
21183,41,0
21185,29,0
21187,1,0
21189,3,0
21191,6,0
13001,70,6
21193,12,0
21195,11,2
13003,8,1
13005,24,1
21197,2,0
13007,23,2
21199,43,2
13009,215,8
21203,11,0
13011,24,0
13013,133,4
21205,2,0
21207,16,3
13015,315,30
21209,29,0
13017,25,0
21211,30,3
13019,18,0
21213,27,2
13021,306,10
21215,13,0
13023,17,0
21217,8,0
13025,23,2
13027,59,6
21219,12,0
13029,52,2
21221,9,0
13031,38,2
21223,3,0
21225,8,0
13033,85,3
21227,332,1
13035,145,11
21229,5,0
13037,106,4
21231,9,0
13039,33,1
21233,23,0
54001,9,1
13043,8,0
54003,145,2
13045,358,14
21235,11,0
21239,20,0
13047,47,0
13049,9,0
54009,4,0
13051,226,9
54011,42,0
13053,12,0
54005,3,0
13055,16,2
54007,2,0
13057,467,11
54013,1,0
13059,150,13
54019,13,0
13061,22,3
54021,2,0
13063,716,30
54023,1,0
13065,8,0
54025,3,0
13067,1621,94
54027,7,1
13069,138,7
54029,10,0
13071,185,6
54031,5,0
13073,160,4
54033,30,1
13075,23,1
54035,130,13
13077,195,4
54037,79,1
54039,160,7
13079,15,0
13081,165,3
54041,4,0
13083,16,1
54043,2,0
13085,61,2
54045,13,1
13087,83,1
54047,6,0
13089,2027,47
54049,45,2
13091,26,1
54051,12,0
13093,129,9
54053,12,0
13095,1506,120
54055,10,0
13097,319,11
54057,17,0
13099,214,21
54059,2,1
54061,103,5
13101,5,0
13103,35,1
54063,5,0
54065,11,0
13105,23,0
13107,21,0
54067,6,0
54069,27,1
13109,4,0
13111,29,1
54071,3,0
13113,176,10
54073,2,0
13115,144,11
54075,2,0
13117,299,9
54077,13,0
13119,18,1
54079,25,0
13121,2821,118
54081,9,0
13123,69,0
54083,4,0
29510,1077,60
13127,55,1
54087,6,0
13129,92,12
54089,1,0
13131,63,4
54091,6,0
13133,54,2
54093,4,0
13135,1793,57
54095,3,0
13137,304,8
54097,4,0
13139,1346,21
54099,85,7
13141,47,2
13143,28,1
54103,3,0
13145,60,2
54105,3,0
13147,10,0
54107,39,2
13149,10,1
54109,1,0
13151,495,12
13153,222,14
13155,17,1
13157,94,2
13159,22,0
13161,17,1
13163,14,1
13165,16,1
13167,49,2
13169,28,0
13171,38,2
13173,8,1
13175,60,1
13177,319,20
13179,37,0
13181,12,0
13183,5,0
13185,155,4
13187,45,2
13189,45,4
13191,4,0
05001,2,0
13193,79,3
05003,15,0
13195,24,1
05005,5,0
13197,42,1
05007,102,0
13199,54,1
05009,5,0
13201,33,0
05011,12,1
13205,310,30
05015,5,0
13207,23,3
05017,9,0
13209,2,0
05019,30,0
13211,28,0
13213,31,0
05021,3,0
05023,73,4
13215,303,7
05025,11,0
13217,196,7
05027,13,0
13219,64,1
05029,13,1
13221,49,3
05031,74,1
13223,189,8
05033,4,0
13225,46,2
05035,187,5
13227,26,2
05037,17,0
13229,55,3
13231,40,2
05039,1,0
05041,16,0
13233,57,0
05043,16,1
13235,30,1
05045,76,2
13237,40,5
46003,1,0
46005,22,2
13241,13,1
46009,4,0
05051,116,0
13243,159,19
05053,14,0
13245,406,15
05055,16,0
13247,189,6
05057,6,1
13249,16,1
05059,19,0
13251,15,1
05061,14,1
13253,30,2
05063,9,0
13255,210,9
13257,79,1
46023,5,0
13259,24,0
46025,1,0
05069,169,14
13261,381,28
05071,31,0
13263,26,1
46027,6,0
46029,14,0
05075,59,2
13267,10,0
05077,3,1
13269,18,3
05079,814,0
46035,6,1
13273,183,19
46039,1,0
13275,186,19
13271,27,0
05085,41,0
13277,118,5
13279,31,3
46047,1,0
46049,1,0
13281,21,1
05091,34,1
05083,3,0
13285,148,4
05093,19,0
13287,68,8
05095,4,0
13289,8,0
46057,2,0
05099,1,0
13291,34,2
05101,3,0
13293,217,18
13295,61,0
05103,6,0
05105,7,0
13297,126,4
13299,121,11
46065,8,0
05109,3,0
13301,12,0
05111,22,1
13303,42,1
05113,8,0
46067,3,0
05115,43,0
13307,10,2
13309,4,0
05117,2,0
05119,518,17
13311,61,0
05121,17,0
13313,106,4
05123,83,0
13315,90,9
05125,67,1
13317,25,0
05127,1,0
13319,35,2
05129,6,0
13321,153,11
05131,13,0
46083,147,0
05133,11,1
46085,3,0
46091,1,0
46087,4,1
05137,7,0
46093,1,0
05139,50,0
46099,2038,12
05141,28,2
05135,10,0
05143,86,3
46103,12,0
05145,34,1
46102,1,0
05147,1,0
46101,5,0
46109,4,0
05149,3,0
46111,3,0
46115,3,0
46117,7,0
46119,1,0
46121,1,0
46125,17,0
46127,18,0
46129,5,0
46135,27,0
38003,4,0
38011,1,0
38013,3,0
38015,77,0
38017,513,12
38023,1,0
38025,10,0
38027,1,0
38029,1,1
38031,1,0
38035,258,0
38037,1,0
38049,1,1
38051,1,0
38053,13,0
38055,3,0
38059,24,2
38061,35,0
38063,1,0
38065,1,0
38067,3,0
38069,2,0
38071,4,0
38073,1,0
38077,7,0
38079,1,0
38081,1,0
38085,2,0
38087,3,0
38089,49,2
38093,6,0
38099,7,0
38101,21,1
38103,2,0
38105,10,0
05097,1,0
30001,1,0
30003,3,0
30007,4,0
30009,6,0
30013,15,2
30023,4,0
30029,37,2
30031,146,1
30035,6,0
30037,3,0
30041,1,0
30043,2,0
30047,6,0
30049,16,0
30051,1,0
30053,7,1
30057,9,1
30059,1,0
30063,39,1
30065,3,0
30067,8,0
30073,2,0
30081,5,0
30083,3,0
30085,7,0
30093,11,0
30095,1,0
30101,29,6
30107,1,0
30111,80,2
05107,5,1
22001,130,10
22003,90,9
22005,593,40
22007,182,6
22009,71,7
22011,39,3
22013,77,13
22015,286,17
22017,1540,107
22019,389,29
22021,19,0
22023,3,0
22025,36,2
22027,59,7
22029,38,4
22031,191,11
22033,1874,137
22035,9,0
22037,122,14
22039,49,1
22041,125,3
22043,13,0
22045,257,21
22047,450,30
22049,34,2
22051,6197,346
22053,62,6
22055,455,21
22057,651,45
22059,23,0
22061,85,8
22063,197,15
22065,7,0
22067,52,4
22069,84,4
22071,6452,434
22073,706,16
22075,177,17
22077,99,15
22079,265,10
22081,25,5
22083,58,0
22085,17,1
22087,464,20
22089,570,38
22091,28,1
